C;H;B
60.000000;180.000000;-60.000000;?;ALA;GLY
0.219993;0.761201;0.179861
0.370580;-0.133090;0.455407
0.282493;0.276226;0.053810
-1.098373;2.106176;0.636578
1.152445;-0.011401;-0.144020
1.026601;-1.325399;-0.862079
