C;H;B
60.000000;180.000000;-60.000000;?;ALA;GLY
0.066966;0.283946;0.083310
-0.176101;-0.063415;-0.178344
0.005148;0.011569;-0.064840
-0.959124;1.276201;-0.339235
0.005947;-0.006059;-0.267840
0.091000;-0.666022;0.727332
