C;H;B
60.000000;180.000000;-60.000000;?;ALA;GLY
-0.007426;-0.007683;-0.005475
0.020148;0.006122;0.017419
0.008620;0.009162;-0.016780
0.080776;0.209424;-0.012464
0.015405;-0.045106;-0.059372
-0.010935;0.028904;0.121938
