60.000000;180.000000;-60.000000;?;ALA;GLY
C;H;B
-0.017651;-0.055371;-0.022292;-0.070451;-0.093323;-0.042749
0.010956;-0.016811;-0.001788;0.056793;-0.026798;0.093953
0.110930;-0.007392;0.016041;0.023892;0.050463;-0.043510
